method,cluster,type,cramer,percent_change,delay,size
cluster_minilm_default,18,textblob_sentiment,0.15552,1,1,111
cluster_use_default,10,textblob_sentiment,0.1546,0.5,3,89
cluster_minilm_default,32,bertweet_sentiment,0.15414,1.5,1,62
cluster_minilm_default,5,bertweet_sentiment,0.15383,2,1,37
cluster_minilm_default,18,textblob_sentiment,0.15364,2,3,111
cluster_use_default,1,textblob_sentiment,0.1521,1.5,3,53
cluster_minilm_default,10,bertweet_sentiment,0.15199,0.5,2,66
cluster_distilbert_default,17,bertweet_sentiment,0.15158,0.5,2,73
cluster_distilbert_default,7,textblob_sentiment,0.15123,0.5,3,32
cluster_distilbert_default,7,bertweet_sentiment,0.15097,1,1,32
cluster_distilbert_default,6,textblob_sentiment,0.15085,1,3,72
cluster_distilbert_default,6,textblob_sentiment,0.15085,1.5,3,72
cluster_use_default,1,textblob_sentiment,0.15069,2,3,53
cluster_minilm_default,27,textblob_sentiment,0.15057,1.5,1,72
cluster_minilm_default,29,textblob_sentiment,0.1502,1,1,61
cluster_minilm_default,14,bertweet_sentiment,0.14906,2,3,46
cluster_minilm_default,11,textblob_sentiment,0.14895,0,2,56
cluster_use_default,4,bertweet_sentiment,0.14785,0,2,96
cluster_minilm_default,11,textblob_sentiment,0.14778,1,1,56
cluster_distilbert_default,0,bertweet_sentiment,0.14777,1.5,1,65
cluster_distilbert_default,17,bertweet_sentiment,0.14773,0,2,73
cluster_distilbert_default,22,bertweet_sentiment,0.14754,1,1,91
cluster_minilm_default,5,textblob_sentiment,0.14753,1.5,1,37
cluster_minilm_default,22,bertweet_sentiment,0.14696,1.5,2,83
cluster_distilbert_default,22,textblob_sentiment,0.14685,0,2,91
cluster_minilm_default,23,bertweet_sentiment,0.14655,1.5,2,59
cluster_mpnet_default,0,textblob_sentiment,0.14653,0,2,91
cluster_use_default,8,textblob_sentiment,0.14644,0,2,108
cluster_distilbert_default,14,textblob_sentiment,0.14576,0.5,1,39
cluster_use_default,0,textblob_sentiment,0.14547,1,3,243
cluster_distilbert_default,17,textblob_sentiment,0.1454,0.5,1,73
cluster_mpnet_default,6,bertweet_sentiment,0.14485,0,3,74
cluster_distilbert_default,13,bertweet_sentiment,0.14458,0,1,78
cluster_minilm_default,23,distilbert_sentiment,0.14453,0,1,59
cluster_distilbert_default,20,bertweet_sentiment,0.1433,1,1,91
cluster_distilbert_default,8,textblob_sentiment,0.14328,0.5,2,108
cluster_mpnet_default,2,textblob_sentiment,0.1432,0,2,119
cluster_distilbert_default,9,textblob_sentiment,0.14314,2,1,34
cluster_distilbert_default,12,textblob_sentiment,0.14312,1,2,64
cluster_minilm_default,8,textblob_sentiment,0.14311,0,2,32
cluster_minilm_default,14,textblob_sentiment,0.14256,1,1,46
cluster_minilm_default,14,textblob_sentiment,0.14256,0.5,1,46
cluster_minilm_default,13,textblob_sentiment,0.14239,1.5,1,49
cluster_mpnet_dbcv,0,textblob_sentiment,0.1423,1,2,189
cluster_minilm_default,11,textblob_sentiment,0.14198,1.5,1,56
cluster_minilm_default,29,textblob_sentiment,0.14168,0.5,1,61
