,date,open,high,low,close,adj
2685,2019-04-08,55.537997999999995,56.231998,54.088001,54.639998999999996,54.639998999999996
2686,2019-04-09,54.330002,55.0,53.922001,54.462002000000005,54.462002000000005
2687,2019-04-10,55.348,55.675999,54.577999,55.212002000000005,55.212002000000005
2688,2019-04-11,53.66,54.099998,53.119999,53.683997999999995,53.683997999999995
2689,2019-04-12,54.043999,54.389998999999996,53.366001000000004,53.540001000000004,53.540001000000004
2690,2019-04-13,53.885000500000004,54.083,52.5460015,53.408001,53.408001
2691,2019-04-14,53.805501250000006,53.9295005,52.136001750000005,53.342000999999996,53.342000999999996
2692,2019-04-15,53.726002,53.776001,51.726002,53.276001,53.276001
2693,2019-04-16,53.150002,55.0,52.944,54.672001,54.672001
2694,2019-04-17,54.950001,54.958,53.708,54.245998,54.245998
2695,2019-04-18,54.245998,54.967999,53.950001,54.652,54.652
2696,2019-04-19,54.0229985,54.452,53.2229995,53.6009995,53.6009995
2697,2019-04-20,53.91149875,54.1940005,52.85949875,53.07549925,53.07549925
2698,2019-04-21,53.855748875,54.065000749999996,52.677748375,52.812749124999996,52.812749124999996
2699,2019-04-22,53.799999,53.936001,52.495998,52.549999,52.549999
2700,2019-04-23,52.029999,53.119999,51.150002,52.779999,52.779999
2701,2019-04-24,52.77,53.063999,51.599998,51.731998,51.731998
2702,2019-04-25,51.0,51.799999,49.214001,49.526001,49.526001
2703,2019-04-26,49.299999,49.335999,46.226002,47.028,47.028
2704,2019-04-27,48.236000000000004,49.066,46.33,47.6609995,47.6609995
2705,2019-04-28,47.70400050000001,48.9310005,46.38199899999999,47.97749925,47.97749925
2706,2019-04-29,47.172001,48.796001000000004,46.433997999999995,48.293999,48.293999
2707,2019-04-30,48.411999,48.841999,47.400002,47.737999,47.737999
2708,2019-05-01,47.77,48.0,46.299999,46.801998,46.801998
2709,2019-05-02,49.104,49.425999,47.543999,48.82,48.82
2710,2019-05-03,48.771999,51.321999,48.698002,51.006001,51.006001
2711,2019-05-04,49.388000500000004,51.4959985,49.1990015,51.037001000000004,51.037001000000004
2712,2019-05-05,49.69600125,51.58299825,49.44950125,51.05250100000001,51.05250100000001
2713,2019-05-06,50.004002,51.669998,49.700001,51.068001,51.068001
2714,2019-05-07,51.360001000000004,51.442001,49.02,49.411999,49.411999
2715,2019-05-08,49.388,50.119999,48.84,48.967999,48.967999
2716,2019-05-09,48.400002,48.736,47.388,48.396,48.396
2717,2019-05-10,47.950001,48.397999,47.203998999999996,47.903999,47.903999
2718,2019-05-11,47.1760005,47.445999,46.0520005,46.6529995,46.6529995
2719,2019-05-12,46.78900025,46.969999,45.476001249999996,46.027499750000004,46.027499750000004
2720,2019-05-13,46.402,46.493999,44.900002,45.402,45.402
2721,2019-05-14,45.860001000000004,46.900002,45.599998,46.462002000000005,46.462002000000005
2722,2019-05-15,45.863997999999995,46.487999,45.049999,46.389998999999996,46.389998999999996
2723,2019-05-16,45.897999,46.200001,45.299999,45.666,45.666
2724,2019-05-17,44.391998,44.448002,41.784,42.206001,42.206001
2725,2019-05-18,42.4759995,42.8240015,40.4169995,41.638999999999996,41.638999999999996
2726,2019-05-19,41.51800025,42.01200125,39.73349925,41.35549949999999,41.35549949999999
2727,2019-05-20,40.560001,41.200001,39.049999,41.071999,41.071999
2728,2019-05-21,39.551998,41.48,39.208,41.015999,41.015999
2729,2019-05-22,39.82,40.787997999999995,38.355999,38.546001000000004,38.546001000000004
2730,2019-05-23,38.868,39.894001,37.243999,39.098,39.098
2731,2019-05-24,39.966,39.995998,37.75,38.125999,38.125999
2732,2019-05-25,39.103001000000006,39.497999,37.66,37.933000500000006,37.933000500000006
2733,2019-05-26,38.671501500000005,39.2489995,37.614999999999995,37.836501250000005,37.836501250000005
2734,2019-05-27,38.455751750000005,39.12449975,37.5925,37.788251625,37.788251625
2735,2019-05-28,38.240002000000004,39.0,37.57,37.740002000000004,37.740002000000004
2736,2019-05-29,37.419998,38.478001,37.007999,37.972,37.972
2737,2019-05-30,37.75,38.452,37.403999,37.644001,37.644001
2738,2019-05-31,37.02,37.984001,36.82,37.032001,37.032001
2739,2019-06-01,37.061000500000006,37.66,36.108999499999996,36.413,36.413
2740,2019-06-02,37.081500750000004,37.4979995,35.75349925,36.1034995,36.1034995
2741,2019-06-03,37.102001,37.335999,35.397999,35.793999,35.793999
2742,2019-06-04,36.220001,38.796001000000004,35.922001,38.720001,38.720001
2743,2019-06-05,39.736,40.256001,38.369999,39.318001,39.318001
2744,2019-06-06,40.888,42.200001,40.360001000000004,41.189999,41.189999
2745,2019-06-07,41.0,42.167999,40.700001,40.900002,40.900002
2746,2019-06-08,41.5249995,42.7779995,41.2509995,41.738001,41.738001
2747,2019-06-09,41.787499249999996,43.08299975,41.52649875,42.157000499999995,42.157000499999995
2748,2019-06-10,42.049999,43.388,41.801998,42.576,42.576
2749,2019-06-11,43.827999,44.18,42.700001,43.419998,43.419998
2750,2019-06-12,44.59,44.675999,41.799999,41.852001,41.852001
2751,2019-06-13,42.076,42.98,41.501999,42.782001,42.782001
2752,2019-06-14,42.25,43.330002,42.080002,42.984001,42.984001
2753,2019-06-15,42.6730005,44.365002000000004,42.467000999999996,43.995001,43.995001
2754,2019-06-16,42.88450075,44.882502,42.6605005,44.500501,44.500501
2755,2019-06-17,43.096001,45.400002,42.854,45.006001,45.006001
2756,2019-06-18,45.743999,46.948002,44.512001,44.948002,44.948002
2757,2019-06-19,45.021999,45.554001,44.212002000000005,45.285999,45.285999
2758,2019-06-20,44.599998,45.380001,43.27,43.924,43.924
2759,2019-06-21,43.243999,44.436001,43.099998,44.372002,44.372002
2760,2019-06-22,43.945999,44.804001,43.6519985,44.5500015,44.5500015
2761,2019-06-23,44.296999,44.988001,43.92799875,44.63900125,44.63900125
2762,2019-06-24,44.647999,45.172001,44.203998999999996,44.728001,44.728001
2763,2019-06-25,44.877998,45.068001,43.897999,43.952,43.952
2764,2019-06-26,44.062,45.445999,43.619999,43.854,43.854
2765,2019-06-27,43.889998999999996,44.580002,43.470001,44.568001,44.568001
2766,2019-06-28,44.198002,45.034,44.16,44.692001,44.692001
2767,2019-06-29,45.120001,45.8269995,44.7080005,45.0629995,45.0629995
2768,2019-06-30,45.5810005,46.22349925,44.98200075,45.248498749999996,45.248498749999996
2769,2019-07-01,46.042,46.619999,45.256001,45.433997999999995,45.433997999999995
2770,2019-07-02,45.778,45.830002,44.444,44.91,44.91
2771,2019-07-03,47.877998,48.313999,46.902,46.98,46.98
2772,2019-07-04,47.3959995,47.7019995,46.531,46.7999995,46.7999995
2773,2019-07-05,46.914001,47.09,46.16,46.619999,46.619999
2774,2019-07-06,46.581001,46.7700005,45.945999,46.344,46.344
2775,2019-07-07,46.414501,46.61000075,45.8389985,46.2060005,46.2060005
2776,2019-07-08,46.248001,46.450001,45.731998,46.068001,46.068001
2777,2019-07-09,45.793999,46.200001,45.456001,46.012001,46.012001
2778,2019-07-10,46.830002,47.787997999999995,46.627998,47.784,47.784
2779,2019-07-11,47.627998,48.299999,47.16,47.720001,47.720001
2780,2019-07-12,47.950001,49.076,47.942001,49.015999,49.015999
2781,2019-07-13,48.7749995,49.9799995,48.4570005,49.858000000000004,49.858000000000004
2782,2019-07-14,49.18749875,50.43199925,48.71450025,50.2790005,50.2790005
2783,2019-07-15,49.599998,50.883998999999996,48.972,50.700001,50.700001
2784,2019-07-16,49.860001000000004,50.706001,49.585999,50.476002,50.476002
2785,2019-07-17,51.133998999999996,51.661999,50.669998,50.972,50.972
2786,2019-07-18,51.009997999999996,51.150002,50.377998,50.708,50.708
2787,2019-07-19,51.138,51.992001,50.924,51.636002000000005,51.636002000000005
2788,2019-07-20,51.444,52.2110005,50.8810005,51.386002000000005,51.386002000000005
2789,2019-07-21,51.597,52.320500249999995,50.859500749999995,51.261002000000005,51.261002000000005
2790,2019-07-22,51.75,52.43,50.838001,51.136002000000005,51.136002000000005
2791,2019-07-23,51.341999,52.096001,50.900002,52.034,52.034
2792,2019-07-24,51.834,53.214001,51.632,52.976002,52.976002
2793,2019-07-25,46.700001,46.900002,45.110001000000004,45.764,45.764
2794,2019-07-26,45.383998999999996,46.051998,44.450001,45.608002,45.608002
2795,2019-07-27,45.400999,46.619999,44.828001,46.3810005,46.3810005
2796,2019-07-28,45.409499,46.9039995,45.017001,46.76749975,46.76749975
2797,2019-07-29,45.417999,47.188,45.206001,47.153999,47.153999
2798,2019-07-30,46.580002,48.672001,46.436001,48.452,48.452
2799,2019-07-31,48.599998,49.335999,47.330002,48.321999,48.321999
2800,2019-08-01,48.529999,48.902,46.354,46.77,46.77
2801,2019-08-02,46.27,47.254002,45.846001,46.868,46.868
